,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee
0,Sat,2021-08-21,18:30,Hellas Verona,2.1,2–3,1.4,Sassuolo,5448.0,Stadio Marc'Antonio Bentegodi,Manuel Volpi
1,Sat,2021-08-21,18:30,Inter,1.5,4–0,1.0,Genoa,27402.0,Stadio Giuseppe Meazza,Valerio Marini
2,Sat,2021-08-21,20:45,Empoli,1.3,1–3,1.3,Lazio,3655.0,Stadio Carlo Castellani,Simone Sozza
3,Sat,2021-08-21,20:45,Torino,1.3,1–2,1.0,Atalanta,3475.0,Stadio Olimpico di Torino,Daniele Chiffi
4,Sun,2021-08-22,18:30,Bologna,1.5,3–2,1.6,Salernitana,8375.0,Stadio Renato Dall'Ara,Antonio Rapuano
5,Sun,2021-08-22,18:30,Udinese,2.2,2–2,0.8,Juventus,9660.0,Dacia Arena,Ivan Pezzuto
6,Sun,2021-08-22,20:45,Napoli,2.3,2–0,0.5,Venezia,20000.0,Stadio San Paolo,Gianluca Aureliano
7,Sun,2021-08-22,20:45,Roma,2.7,3–1,1.2,Fiorentina,26997.0,Stadio Olimpico,Luca Pairetto
8,Mon,2021-08-23,18:30,Cagliari,2.7,2–2,0.8,Spezia,5387.0,Sardegna Arena,Francesco Fourneau
9,Mon,2021-08-23,20:45,Sampdoria,1.0,0–1,1.1,Milan,5000.0,Stadio Comunale Luigi Ferraris,Marco Guida
11,Fri,2021-08-27,18:30,Udinese,2.7,3–0,1.0,Venezia,8274.0,Dacia Arena,Livio Marinelli
12,Fri,2021-08-27,20:45,Hellas Verona,0.8,1–3,1.6,Inter,11214.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello
13,Sat,2021-08-28,18:30,Atalanta,1.0,0–0,0.3,Bologna,7912.0,Stadio Atleti Azzurri d'Italia,Daniele Orsato
14,Sat,2021-08-28,18:30,Lazio,3.2,6–1,0.7,Spezia,20000.0,Stadio Olimpico,Federico Dionisi
15,Sat,2021-08-28,20:45,Fiorentina,0.6,2–1,0.5,Torino,12592.0,Stadio Artemio Franchi,Maurizio Mariani
16,Sat,2021-08-28,20:45,Juventus,1.5,0–1,0.8,Empoli,17584.0,Allianz Stadium,Davide Ghersini
17,Sun,2021-08-29,18:30,Sassuolo,1.4,0–0,0.5,Sampdoria,3309.0,Stadio Città del Tricolore,Juan Sacchi
18,Sun,2021-08-29,18:30,Genoa,0.6,1–2,1.1,Napoli,20000.0,Stadio Comunale Luigi Ferraris,Marco Di Bello
19,Sun,2021-08-29,20:45,Milan,2.7,4–1,0.4,Cagliari,31946.0,Stadio Giuseppe Meazza,Marco Serra
20,Sun,2021-08-29,20:45,Salernitana,0.3,0–4,1.9,Roma,12500.0,Stadio Arechi,Rosario Abisso
22,Sat,2021-09-11,15:00,Empoli,1.9,1–2,1.7,Venezia,2511.0,Stadio Carlo Castellani,Antonio Rapuano
23,Sat,2021-09-11,18:00,Napoli,2.1,2–1,1.0,Juventus,23500.0,Stadio San Paolo,Massimiliano Irrati
24,Sat,2021-09-11,20:45,Atalanta,2.5,1–2,1.7,Fiorentina,9162.0,Stadio Atleti Azzurri d'Italia,Valerio Marini
25,Sun,2021-09-12,12:30,Sampdoria,1.2,2–2,0.7,Inter,7441.0,Stadio Comunale Luigi Ferraris,Daniele Orsato
26,Sun,2021-09-12,15:00,Spezia,1.3,0–1,0.8,Udinese,5162.0,Stadio Alberto Picco,Marco Guida
27,Sun,2021-09-12,15:00,Torino,1.9,4–0,0.2,Salernitana,9082.0,Stadio Olimpico di Torino,Gianluca Aureliano
28,Sun,2021-09-12,15:00,Cagliari,1.4,2–3,1.1,Genoa,6423.0,Sardegna Arena,Luca Pairetto
29,Sun,2021-09-12,18:00,Milan,3.0,2–0,0.3,Lazio,36207.0,Stadio Giuseppe Meazza,Daniele Chiffi
30,Sun,2021-09-12,20:45,Roma,2.8,2–1,1.7,Sassuolo,29604.0,Stadio Olimpico,Simone Sozza
31,Mon,2021-09-13,20:45,Bologna,1.4,1–0,0.4,Hellas Verona,10218.0,Stadio Renato Dall'Ara,Ivan Pezzuto
33,Fri,2021-09-17,20:45,Sassuolo,0.6,0–1,2.0,Torino,20000.0,Stadio Città del Tricolore,Marco Piccinini
34,Sat,2021-09-18,15:00,Genoa,1.0,1–2,0.9,Fiorentina,6269.0,Stadio Comunale Luigi Ferraris,Livio Marinelli
35,Sat,2021-09-18,18:00,Inter,3.1,6–1,0.5,Bologna,35278.0,Stadio Giuseppe Meazza,Giovanni Ayroldi
36,Sat,2021-09-18,20:45,Salernitana,0.9,0–1,1.4,Atalanta,11949.0,Stadio Arechi,Paolo Valeri
37,Sun,2021-09-19,12:30,Empoli,1.6,0–3,1.8,Sampdoria,3064.0,Stadio Carlo Castellani,Maurizio Mariani
38,Sun,2021-09-19,15:00,Venezia,0.9,1–2,0.5,Spezia,3688.0,Stadio Pierluigi Penzo,Rosario Abisso
39,Sun,2021-09-19,18:00,Hellas Verona,1.1,3–2,0.8,Roma,10148.0,Stadio Marc'Antonio Bentegodi,Fabio Maresca
40,Sun,2021-09-19,18:00,Lazio,2.1,2–2,1.8,Cagliari,20000.0,Stadio Olimpico,Davide Ghersini
41,Sun,2021-09-19,20:45,Juventus,1.0,1–1,0.7,Milan,18785.0,Allianz Stadium,Daniele Doveri
42,Mon,2021-09-20,20:45,Udinese,0.3,0–4,2.4,Napoli,11484.0,Dacia Arena,Gianluca Manganiello
44,Tue,2021-09-21,18:30,Bologna,2.0,2–2,1.5,Genoa,9707.0,Stadio Renato Dall'Ara,Francesco Fourneau
45,Tue,2021-09-21,20:45,Atalanta,1.6,2–1,0.7,Sassuolo,7353.0,Stadio Atleti Azzurri d'Italia,Davide Massa
46,Tue,2021-09-21,20:45,Fiorentina,1.4,1–3,2.8,Inter,15927.0,Stadio Artemio Franchi,Michael Fabbri
47,Wed,2021-09-22,18:30,Salernitana,2.7,2–2,1.7,Hellas Verona,9561.0,Stadio Arechi,Massimiliano Irrati
48,Wed,2021-09-22,18:30,Spezia,0.7,2–3,2.3,Juventus,5700.0,Stadio Alberto Picco,Gianluca Aureliano
49,Wed,2021-09-22,20:45,Milan,1.7,2–0,0.7,Venezia,26185.0,Stadio Giuseppe Meazza,Ivan Pezzuto
50,Wed,2021-09-22,20:45,Cagliari,1.1,0–2,1.1,Empoli,7226.0,Sardegna Arena,Marco Di Bello
51,Thu,2021-09-23,18:30,Torino,1.1,1–1,0.9,Lazio,8646.0,Stadio Olimpico di Torino,Rosario Abisso
52,Thu,2021-09-23,18:30,Sampdoria,0.6,0–4,2.2,Napoli,4596.0,Stadio Comunale Luigi Ferraris,Paolo Valeri
53,Thu,2021-09-23,20:45,Roma,1.3,1–0,0.9,Udinese,29593.0,Stadio Olimpico,Antonio Rapuano
55,Sat,2021-09-25,15:00,Spezia,0.9,1–2,1.9,Milan,3618.0,Stadio Alberto Picco,Gianluca Manganiello
56,Sat,2021-09-25,18:00,Inter,3.9,2–2,2.1,Atalanta,36517.0,Stadio Giuseppe Meazza,Fabio Maresca
57,Sat,2021-09-25,20:45,Genoa,1.6,3–3,2.2,Hellas Verona,13478.0,Stadio Comunale Luigi Ferraris,Daniele Doveri
58,Sun,2021-09-26,12:30,Juventus,2.4,3–2,0.4,Sampdoria,15381.0,Allianz Stadium,Giovanni Ayroldi
59,Sun,2021-09-26,15:00,Udinese,0.6,0–1,1.1,Fiorentina,7208.0,Dacia Arena,Davide Ghersini
60,Sun,2021-09-26,15:00,Sassuolo,1.3,1–0,0.9,Salernitana,5177.0,Stadio Città del Tricolore,Antonio Giua
61,Sun,2021-09-26,15:00,Empoli,1.8,4–2,2.5,Bologna,5022.0,Stadio Carlo Castellani,Piero Giacomelli
62,Sun,2021-09-26,18:00,Lazio,2.2,3–2,2.3,Roma,32000.0,Stadio Olimpico,Marco Guida
63,Sun,2021-09-26,20:45,Napoli,1.8,2–0,0.2,Cagliari,20000.0,Stadio San Paolo,Marco Piccinini
64,Mon,2021-09-27,20:45,Venezia,1.3,1–1,0.7,Torino,4888.0,Stadio Pierluigi Penzo,Lorenzo Maggioni
66,Fri,2021-10-01,20:45,Cagliari,0.4,1–1,1.1,Venezia,8135.0,Sardegna Arena,Manuel Volpi
67,Sat,2021-10-02,15:00,Salernitana,0.5,1–0,1.9,Genoa,10077.0,Stadio Arechi,Maurizio Mariani
68,Sat,2021-10-02,18:00,Torino,1.0,0–1,0.9,Juventus,12073.0,Stadio Olimpico di Torino,Paolo Valeri
69,Sat,2021-10-02,20:45,Sassuolo,1.5,1–2,1.9,Inter,10400.0,Stadio Città del Tricolore,Luca Pairetto
70,Sun,2021-10-03,12:30,Bologna,0.5,3–0,0.6,Lazio,12975.0,Stadio Renato Dall'Ara,Davide Massa
71,Sun,2021-10-03,15:00,Sampdoria,1.6,3–3,2.7,Udinese,4292.0,Stadio Comunale Luigi Ferraris,Daniele Orsato
72,Sun,2021-10-03,15:00,Hellas Verona,0.4,4–0,1.4,Spezia,8398.0,Stadio Marc'Antonio Bentegodi,Giacomo Camplone
73,Sun,2021-10-03,18:00,Fiorentina,0.7,1–2,1.7,Napoli,15264.0,Stadio Artemio Franchi,Simone Sozza
74,Sun,2021-10-03,18:00,Roma,1.3,2–0,0.6,Empoli,31946.0,Stadio Olimpico,Giovanni Ayroldi
75,Sun,2021-10-03,20:45,Atalanta,2.1,2–3,3.0,Milan,9363.0,Stadio Atleti Azzurri d'Italia,Marco Di Bello
77,Sat,2021-10-16,15:00,Spezia,1.6,2–1,1.7,Salernitana,6023.0,Stadio Alberto Picco,Davide Massa
78,Sat,2021-10-16,18:00,Lazio,2.5,3–1,1.4,Inter,42000.0,Stadio Olimpico,Massimiliano Irrati
79,Sat,2021-10-16,20:45,Milan,1.5,3–2,1.4,Hellas Verona,40128.0,Stadio Giuseppe Meazza,Alessandro Prontera
80,Sun,2021-10-17,12:30,Cagliari,1.1,3–1,1.5,Sampdoria,9923.0,Sardegna Arena,Matteo Marchetti
81,Sun,2021-10-17,15:00,Udinese,1.0,1–1,1.7,Bologna,10627.0,Dacia Arena,Rosario Abisso
82,Sun,2021-10-17,15:00,Empoli,0.7,1–4,4.2,Atalanta,6214.0,Stadio Carlo Castellani,Marco Serra
83,Sun,2021-10-17,15:00,Genoa,1.3,2–2,2.0,Sassuolo,10370.0,Stadio Comunale Luigi Ferraris,Daniele Chiffi
84,Sun,2021-10-17,18:00,Napoli,1.6,1–0,0.9,Torino,27579.0,Stadio San Paolo,Juan Sacchi
85,Sun,2021-10-17,20:45,Juventus,0.8,1–0,1.4,Roma,20239.0,Allianz Stadium,Daniele Orsato
86,Mon,2021-10-18,20:45,Venezia,1.0,1–0,0.5,Fiorentina,8043.0,Stadio Pierluigi Penzo,Luca Massimi
